,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
IL1RL2,ENSG00000115598,Gene Expression,GRCh38,7,7.0,IL1RL2,7
AP001453.2,ENSG00000256940,Gene Expression,GRCh38,784,1044.0,AP001453.2,784
UTP20,ENSG00000120800,Gene Expression,GRCh38,752,863.0,UTP20,752
TMEM104,ENSG00000109066,Gene Expression,GRCh38,404,433.0,TMEM104,404
TEX2,ENSG00000136478,Gene Expression,GRCh38,170,181.0,TEX2,170
PRRG1,ENSG00000130962,Gene Expression,GRCh38,1671,2230.0,PRRG1,1671
RTEL1,ENSG00000258366,Gene Expression,GRCh38,3,3.0,RTEL1,3
FAM43A,ENSG00000185112,Gene Expression,GRCh38,2210,3963.0,FAM43A,2210
PRDM2,ENSG00000116731,Gene Expression,GRCh38,1924,2603.0,PRDM2,1924
AC011287.2,ENSG00000237713,Gene Expression,GRCh38,4,4.0,AC011287.2,4
LRPPRC,ENSG00000138095,Gene Expression,GRCh38,1631,2111.0,LRPPRC,1631
AKR1C1,ENSG00000187134,Gene Expression,GRCh38,23,24.0,AKR1C1,23
ZNF287,ENSG00000141040,Gene Expression,GRCh38,26,26.0,ZNF287,26
PCCB,ENSG00000114054,Gene Expression,GRCh38,620,728.0,PCCB,620
STS,ENSG00000101846,Gene Expression,GRCh38,1844,3222.0,STS,1844
NINJ1,ENSG00000131669,Gene Expression,GRCh38,972,1226.0,NINJ1,972
ARHGAP20,ENSG00000137727,Gene Expression,GRCh38,4,4.0,ARHGAP20,4
CXCR4,ENSG00000121966,Gene Expression,GRCh38,399,463.0,CXCR4,399
OMA1,ENSG00000162600,Gene Expression,GRCh38,317,334.0,OMA1,317
TXNDC9,ENSG00000115514,Gene Expression,GRCh38,1482,1977.0,TXNDC9,1482
AC015813.1,ENSG00000264112,Gene Expression,GRCh38,247,271.0,AC015813.1,247
AMZ2,ENSG00000196704,Gene Expression,GRCh38,731,822.0,AMZ2,731
NIPAL1,ENSG00000163293,Gene Expression,GRCh38,1451,2285.0,NIPAL1,1451
AC074050.2,ENSG00000260568,Gene Expression,GRCh38,3,3.0,AC074050.2,3
NPPA-AS1,ENSG00000242349,Gene Expression,GRCh38,27,28.0,NPPA-AS1,27
MYLK,ENSG00000065534,Gene Expression,GRCh38,396,457.0,MYLK,396
SSR4,ENSG00000180879,Gene Expression,GRCh38,6880,37537.0,SSR4,6880
AP000880.1,ENSG00000255129,Gene Expression,GRCh38,25,25.0,AP000880.1,25
BX547991.1,ENSG00000264404,Gene Expression,GRCh38,5,5.0,BX547991.1,5
TTF1,ENSG00000125482,Gene Expression,GRCh38,829,926.0,TTF1,829
PGAM5,ENSG00000247077,Gene Expression,GRCh38,366,383.0,PGAM5,366
OSM,ENSG00000099985,Gene Expression,GRCh38,10,12.0,OSM,10
AL035446.1,ENSG00000234147,Gene Expression,GRCh38,23,23.0,AL035446.1,23
PI16,ENSG00000164530,Gene Expression,GRCh38,3,3.0,PI16,3
CIB2,ENSG00000136425,Gene Expression,GRCh38,698,811.0,CIB2,698
ZNF428,ENSG00000131116,Gene Expression,GRCh38,1239,1593.0,ZNF428,1239
AC117402.1,ENSG00000206532,Gene Expression,GRCh38,6,6.0,AC117402.1,6
PKD2L2,ENSG00000078795,Gene Expression,GRCh38,33,33.0,PKD2L2,33
PILRB,ENSG00000121716,Gene Expression,GRCh38,1199,1453.0,PILRB,1199
ECH1,ENSG00000104823,Gene Expression,GRCh38,3791,7686.0,ECH1,3791
AC010273.1,ENSG00000248664,Gene Expression,GRCh38,17,17.0,AC010273.1,17
AL138828.1,ENSG00000237596,Gene Expression,GRCh38,52,61.0,AL138828.1,52
CAPZA2,ENSG00000198898,Gene Expression,GRCh38,2535,3869.0,CAPZA2,2535
GJB5,ENSG00000189280,Gene Expression,GRCh38,22,24.0,GJB5,22
GATD3A,ENSG00000160221,Gene Expression,GRCh38,74,74.0,GATD3A,74
AC010894.3,ENSG00000236449,Gene Expression,GRCh38,118,124.0,AC010894.3,118
FPR1,ENSG00000171051,Gene Expression,GRCh38,12,13.0,FPR1,12
C1RL,ENSG00000139178,Gene Expression,GRCh38,15,15.0,C1RL,15
FUS,ENSG00000089280,Gene Expression,GRCh38,4105,9075.0,FUS,4105
OGFRL1,ENSG00000119900,Gene Expression,GRCh38,1092,1318.0,OGFRL1,1092
OSBPL7,ENSG00000006025,Gene Expression,GRCh38,27,27.0,OSBPL7,27
PRKCA,ENSG00000154229,Gene Expression,GRCh38,135,141.0,PRKCA,135
AL162231.1,ENSG00000187186,Gene Expression,GRCh38,488,527.0,AL162231.1,488
AC016588.1,ENSG00000267124,Gene Expression,GRCh38,3,3.0,AC016588.1,3
DDX27,ENSG00000124228,Gene Expression,GRCh38,2022,2909.0,DDX27,2022
SLC25A17,ENSG00000100372,Gene Expression,GRCh38,1095,1310.0,SLC25A17,1095
LIMCH1,ENSG00000064042,Gene Expression,GRCh38,3337,6614.0,LIMCH1,3337
ST3GAL3,ENSG00000126091,Gene Expression,GRCh38,179,199.0,ST3GAL3,179
SRFBP1,ENSG00000151304,Gene Expression,GRCh38,839,940.0,SRFBP1,839
CDK12,ENSG00000167258,Gene Expression,GRCh38,2145,2977.0,CDK12,2145
MTMR2,ENSG00000087053,Gene Expression,GRCh38,738,827.0,MTMR2,738
PLA2G4C,ENSG00000105499,Gene Expression,GRCh38,68,72.0,PLA2G4C,68
LINC00624,ENSG00000278811,Gene Expression,GRCh38,31,32.0,LINC00624,31
SCAI,ENSG00000173611,Gene Expression,GRCh38,253,271.0,SCAI,253
CTDP1,ENSG00000060069,Gene Expression,GRCh38,392,419.0,CTDP1,392
SEL1L3,ENSG00000091490,Gene Expression,GRCh38,177,204.0,SEL1L3,177
PAWR,ENSG00000177425,Gene Expression,GRCh38,2784,4580.0,PAWR,2784
UBE3B,ENSG00000151148,Gene Expression,GRCh38,635,697.0,UBE3B,635
NUMB,ENSG00000133961,Gene Expression,GRCh38,1785,2367.0,NUMB,1785
APOPT1,ENSG00000256053,Gene Expression,GRCh38,1203,1562.0,APOPT1,1203
HAUS3,ENSG00000214367,Gene Expression,GRCh38,288,304.0,HAUS3,288
WNT3,ENSG00000108379,Gene Expression,GRCh38,19,19.0,WNT3,19
BTNL8,ENSG00000113303,Gene Expression,GRCh38,19,25.0,BTNL8,19
AC010245.2,ENSG00000272040,Gene Expression,GRCh38,26,26.0,AC010245.2,26
TMCC1,ENSG00000172765,Gene Expression,GRCh38,980,1153.0,TMCC1,980
SPINK2,ENSG00000128040,Gene Expression,GRCh38,7,7.0,SPINK2,7
LINC01748,ENSG00000226476,Gene Expression,GRCh38,11,11.0,LINC01748,11
NPHS2,ENSG00000116218,Gene Expression,GRCh38,8,9.0,NPHS2,8
MDN1,ENSG00000112159,Gene Expression,GRCh38,637,716.0,MDN1,637
FUT10,ENSG00000172728,Gene Expression,GRCh38,266,277.0,FUT10,266
SOCS3,ENSG00000184557,Gene Expression,GRCh38,796,1031.0,SOCS3,796
ZMYM4-AS1,ENSG00000227409,Gene Expression,GRCh38,13,13.0,ZMYM4-AS1,13
PBXIP1,ENSG00000163346,Gene Expression,GRCh38,1499,1937.0,PBXIP1,1499
MPC1,ENSG00000060762,Gene Expression,GRCh38,924,1114.0,MPC1,924
SS18,ENSG00000141380,Gene Expression,GRCh38,1714,2223.0,SS18,1714
AL391834.2,ENSG00000273226,Gene Expression,GRCh38,44,45.0,AL391834.2,44
TBL2,ENSG00000106638,Gene Expression,GRCh38,763,858.0,TBL2,763
NDUFS5,ENSG00000168653,Gene Expression,GRCh38,5148,15030.0,NDUFS5,5148
CHGB,ENSG00000089199,Gene Expression,GRCh38,7,7.0,CHGB,7
USP46-AS1,ENSG00000248866,Gene Expression,GRCh38,56,56.0,USP46-AS1,56
AC007319.1,ENSG00000224063,Gene Expression,GRCh38,112,118.0,AC007319.1,112
AADACL2-AS1,ENSG00000242908,Gene Expression,GRCh38,160,172.0,AADACL2-AS1,160
AC026979.3,ENSG00000272375,Gene Expression,GRCh38,13,13.0,AC026979.3,13
BSG,ENSG00000172270,Gene Expression,GRCh38,5931,23428.0,BSG,5931
PDE8A,ENSG00000073417,Gene Expression,GRCh38,611,692.0,PDE8A,611
ZNF549,ENSG00000121406,Gene Expression,GRCh38,126,128.0,ZNF549,126
TSR1,ENSG00000167721,Gene Expression,GRCh38,878,1019.0,TSR1,878
AC087741.1,ENSG00000262580,Gene Expression,GRCh38,267,281.0,AC087741.1,267
