,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction
405,NOTCH2_DLL4,DLL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",NOTCH2,"['eEVT', 'iEVT', 'GC']",(M+F)-F
406,NOTCH2_JAG2,NOTCH2,"['eEVT', 'iEVT', 'GC']",JAG2,"['eEVT', 'iEVT', 'dNK1', 'dNK2', 'Endo_M']",(M+F)-(M+F)
407,NOTCH2_JAG2,JAG2,"['eEVT', 'iEVT']",NOTCH2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F)
408,NOTCH3_JAG2,NOTCH3,"['VCT_CCC', 'eEVT']",JAG2,"['eEVT', 'iEVT']",(M+F)-F
409,NOTCH3_JAG2,JAG2,"['eEVT', 'iEVT']",NOTCH3,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
410,NOTCH4_JAG2,NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",JAG2,"['eEVT', 'iEVT']",(M+F)-F
411,NOTCH4_JAG2,JAG2,"['eEVT', 'iEVT']",NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
412,NRG3_ERBB4,NRG3,"['EVT_2', 'eEVT', 'iEVT']",ERBB4,['eEVT'],(M+F)-F
413,NRG3_ERBB4,ERBB4,['eEVT'],NRG3,"['EVT_2', 'eEVT', 'iEVT', 'dS2', 'Endo_M', 'uSMC']",F-(M+F)
414,NRP1_PGF,NRP1,"['VCT_CCC', 'GC']",PGF,"['EVT_1', 'EVT_2', 'GC']",(M+F)-F
415,NRP1_PGF,PGF,"['EVT_1', 'EVT_2', 'GC']",NRP1,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
416,NRP1_SEMA3A,NRP1,"['VCT_CCC', 'GC']",SEMA3A,['GC'],(M+F)-F
417,NRP1_SEMA3A,SEMA3A,['GC'],NRP1,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
418,NRP1_SLC3A2,NRP1,"['VCT_CCC', 'GC']",SLC3A2,"['VCT_CCC', 'EVT_1']",(M+F)-F
419,NRP1_SLC3A2,SLC3A2,"['VCT_CCC', 'EVT_1']",NRP1,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
420,NRP1_VEGFB,NRP1,"['VCT_CCC', 'GC']",VEGFB,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
421,NRP1_VEGFB,VEGFB,"['VCT_CCC', 'iEVT', 'GC']",NRP1,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
422,NRP2_PGF,NRP2,"['VCT_CCC', 'GC']",PGF,"['EVT_1', 'EVT_2', 'GC']",(M+F)-F
423,NRP2_PGF,PGF,"['EVT_1', 'EVT_2', 'GC']",NRP2,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
424,NRP2_SEMA3F,NRP2,"['VCT_CCC', 'GC']",SEMA3F,['eEVT'],(M+F)-F
425,NRP2_SEMA3F,SEMA3F,['eEVT'],NRP2,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
426,NT5E_LAIR1,NT5E,"['eEVT', 'iEVT', 'GC']",LAIR1,"['eEVT', 'GC', 'dM1', 'dM2']",F-(M+F)
427,NT5E_LAIR1,LAIR1,"['eEVT', 'GC']",NT5E,"['eEVT', 'iEVT', 'GC']",(M+F)-F
428,NTRK2_NTN4,NTRK2,"['VCT_CCC', 'EVT_2', 'iEVT']",NTN4,"['eEVT', 'iEVT', 'GC']",(M+F)-F
429,NTRK2_NTN4,NTN4,"['eEVT', 'iEVT', 'GC']",NTRK2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
430,NTS_SORT1,NTS,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",SORT1,"['VCT_CCC', 'iEVT']",(M+F)-F
431,NTS_SORT1,SORT1,"['VCT_CCC', 'iEVT']",NTS,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
432,PDCD1_CD274,PDCD1,"['VCT_CCC', 'EVT_2']",CD274,"['eEVT', 'iEVT', 'GC']",(M+F)-F
433,PDCD1_CD274,CD274,"['eEVT', 'iEVT', 'GC']",PDCD1,"['VCT_CCC', 'EVT_2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
434,PDCD1_PDCD1LG2,PDCD1,"['VCT_CCC', 'EVT_2']",PDCD1LG2,"['iEVT', 'GC']",(M+F)-F
435,PDCD1_PDCD1LG2,PDCD1LG2,"['iEVT', 'GC']",PDCD1,"['VCT_CCC', 'EVT_2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
436,PDGFA_PDGFRA,PDGFA,['VCT_CCC'],PDGFRA,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1']",F-(M+F)
437,PDGFA_PDGFRA,PDGFRA,"['VCT_CCC', 'EVT_2', 'iEVT']",PDGFA,['VCT_CCC'],(M+F)-F
438,PDGFB_PDGFRA,PDGFB,"['VCT_CCC', 'iEVT']",PDGFRA,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1']",F-(M+F)
439,PDGFB_PDGFRA,PDGFRA,"['VCT_CCC', 'EVT_2', 'iEVT']",PDGFB,"['VCT_CCC', 'iEVT']",(M+F)-F
440,PDGFB_PDGFRB,PDGFB,"['VCT_CCC', 'iEVT']",PDGFRB,"['eEVT', 'GC', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
441,PDGFB_PDGFRB,PDGFRB,"['eEVT', 'GC']",PDGFB,"['VCT_CCC', 'iEVT']",(M+F)-F
442,PGR_Progesterone_byHSD3B1,PGR,['GC'],HSD3B1,"['iEVT', 'GC']",(M+F)-F
443,PGR_Progesterone_byHSD3B1,HSD3B1,"['iEVT', 'GC']",PGR,"['GC', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
444,PIGR_APLP2,PIGR,"['EVT_2', 'eEVT', 'iEVT']",APLP2,"['VCT_CCC', 'GC']",(M+F)-F
445,PIGR_APLP2,APLP2,"['VCT_CCC', 'GC']",PIGR,"['EVT_2', 'eEVT', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
446,PLAU_PLAUR,PLAU,['VCT_CCC'],PLAUR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1', 'dM2', 'dS3']",(M+F)-(M+F)
447,PLAU_PLAUR,PLAUR,"['VCT_CCC', 'EVT_1', 'EVT_2']",PLAU,"['VCT_CCC', 'dM1', 'dM2', 'dS3', 'dS2']",(M+F)-(M+F)
448,PLXNB1_SEMA4D,PLXNB1,"['VCT_CCC', 'GC']",SEMA4D,"['VCT_CCC', 'GC', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
449,PLXNB1_SEMA4D,SEMA4D,"['VCT_CCC', 'GC']",PLXNB1,"['VCT_CCC', 'GC']",(M+F)-F
450,PLXNB2_SEMA4C,PLXNB2,"['eEVT', 'iEVT', 'GC']",SEMA4C,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
451,PLXNB2_SEMA4C,SEMA4C,"['EVT_2', 'iEVT', 'GC']",PLXNB2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'dS3', 'dS2', 'uSMC']",(M+F)-(M+F)
452,PLXNC1_SEMA7A,PLXNC1,"['eEVT', 'GC']",SEMA7A,"['EVT_2', 'GC']",(M+F)-F
453,PLXNC1_SEMA7A,SEMA7A,"['EVT_2', 'GC']",PLXNC1,"['eEVT', 'GC', 'dNK3', 'dM1', 'dM2', 'uSMC']",F-(M+F)
454,PODXL_SELL,PODXL,"['eEVT', 'GC']",SELL,"['VCT_CCC', 'EVT_1', 'EVT_2']",F-F
455,PODXL_SELL,SELL,"['VCT_CCC', 'EVT_1', 'EVT_2']",PODXL,"['eEVT', 'GC']",F-F
456,POMC_MC1R,POMC,"['eEVT', 'iEVT', 'GC']",MC1R,"['VCT_CCC', 'EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
457,POMC_MC1R,MC1R,"['VCT_CCC', 'EVT_2', 'eEVT', 'iEVT']",POMC,"['eEVT', 'iEVT', 'GC']",(M+F)-F
458,POMC_OPRK1,POMC,"['eEVT', 'iEVT', 'GC']",OPRK1,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
459,POMC_OPRK1,OPRK1,"['EVT_1', 'EVT_2', 'iEVT']",POMC,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dS3']",(M+F)-(M+F)
460,POMC_OPRM1,POMC,"['eEVT', 'iEVT', 'GC']",OPRM1,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F)
461,POMC_OPRM1,OPRM1,['eEVT'],POMC,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dS3']",(M+F)-(M+F)
462,PRL_PRLR,PRL,"['EVT_2', 'iEVT']",PRLR,"['VCT_CCC', 'EVT_2', 'iEVT']",(M+F)-F
463,PRL_PRLR,PRLR,"['VCT_CCC', 'EVT_2', 'iEVT']",PRL,"['EVT_2', 'iEVT', 'dS3', 'dS2']",F-(M+F)
464,PROC_PROCR,PROC,"['EVT_1', 'EVT_2', 'iEVT']",PROCR,"['EVT_1', 'iEVT', 'GC']",(M+F)-F
465,PROC_PROCR,PROCR,"['EVT_1', 'iEVT', 'GC']",PROC,"['EVT_1', 'EVT_2', 'iEVT', 'dM1']",F-(M+F)
466,PTGER3_ProstaglandinE2_byPTGES,PTGER3,"['eEVT', 'iEVT', 'GC']",PTGES,"['VCT_CCC', 'EVT_1', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
467,PTGER3_ProstaglandinE2_byPTGES,PTGES,"['VCT_CCC', 'EVT_1', 'iEVT', 'GC']",PTGER3,"['eEVT', 'iEVT', 'GC', 'dS1', 'uSMC']",(M+F)-(M+F)
468,PTGER3_ProstaglandinE2_byPTGES2,PTGER3,"['eEVT', 'iEVT', 'GC']",PTGES2,"['VCT_CCC', 'EVT_1', 'eEVT', 'dNK1', 'dNK2', 'dM1', 'dS3', 'dS1']",(M+F)-(M+F)
469,PTGER3_ProstaglandinE2_byPTGES2,PTGES2,"['VCT_CCC', 'EVT_1', 'eEVT']",PTGER3,"['eEVT', 'iEVT', 'GC', 'dS1', 'uSMC']",(M+F)-(M+F)
470,PTGER3_ProstaglandinE2_byPTGES3,PTGER3,"['eEVT', 'iEVT', 'GC']",PTGES3,"['VCT_CCC', 'EVT_1', 'dNK3', 'dM1', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F)
471,PTGER3_ProstaglandinE2_byPTGES3,PTGES3,"['VCT_CCC', 'EVT_1']",PTGER3,"['eEVT', 'iEVT', 'GC', 'dS1', 'uSMC']",(M+F)-(M+F)
472,PTPRC_CD22,PTPRC,['eEVT'],CD22,"['eEVT', 'iEVT']",(M+F)-F
473,PTPRC_CD22,CD22,"['eEVT', 'iEVT']",PTPRC,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
474,PTPRF_CD46,PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC']",CD46,"['eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
475,PTPRF_CD46,CD46,"['eEVT', 'iEVT', 'GC']",PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
476,PTPRF_IL1RAP,PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC']",IL1RAP,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
477,PTPRF_IL1RAP,IL1RAP,"['EVT_2', 'eEVT', 'iEVT', 'GC']",PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
478,PTPRS_NTRK3,PTPRS,"['eEVT', 'iEVT', 'GC']",NTRK3,"['eEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
479,PTPRS_NTRK3,NTRK3,['eEVT'],PTPRS,"['eEVT', 'iEVT', 'GC']",(M+F)-F
480,PVR_CD226,PVR,"['EVT_2', 'iEVT']",CD226,"['eEVT', 'dNK3', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F)
481,PVR_CD226,CD226,['eEVT'],PVR,"['EVT_2', 'iEVT']",(M+F)-F
482,PVR_CD96,PVR,"['EVT_2', 'iEVT']",CD96,"['eEVT', 'GC', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
483,PVR_CD96,CD96,"['eEVT', 'GC']",PVR,"['EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
484,PVR_NECTIN3,PVR,"['EVT_2', 'iEVT']",NECTIN3,"['eEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
485,PVR_NECTIN3,NECTIN3,"['eEVT', 'GC']",PVR,"['EVT_2', 'iEVT']",(M+F)-F
486,PVR_TIGIT,PVR,"['EVT_2', 'iEVT']",TIGIT,"['EVT_1', 'EVT_2', 'iEVT', 'dNK3']",F-(M+F)
487,PVR_TIGIT,TIGIT,"['EVT_1', 'EVT_2', 'iEVT']",PVR,"['EVT_2', 'iEVT']",(M+F)-F
488,RAMP3_ADM,RAMP3,"['EVT_2', 'iEVT']",ADM,"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
489,RAMP3_ADM,ADM,"['EVT_1', 'EVT_2', 'iEVT']",RAMP3,"['EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
490,RBP4_STRA6,RBP4,"['EVT_1', 'EVT_2']",STRA6,"['VCT_CCC', 'GC', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
491,RBP4_STRA6,STRA6,"['VCT_CCC', 'GC']",RBP4,"['EVT_1', 'EVT_2', 'dNK1', 'dNK2', 'dS3', 'dS2']",(M+F)-(M+F)
492,RELN_VLDLR,RELN,"['EVT_2', 'iEVT']",VLDLR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
493,RELN_VLDLR,VLDLR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",RELN,"['EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
494,RNASET2_TLR8,RNASET2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TLR8,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F)
495,RNASET2_TLR8,TLR8,"['VCT_CCC', 'iEVT']",RNASET2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
496,S1PR2_FAM19A5,S1PR2,"['VCT_CCC', 'iEVT']",FAM19A5,"['EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
497,S1PR2_FAM19A5,FAM19A5,"['EVT_2', 'iEVT']",S1PR2,"['VCT_CCC', 'iEVT']",(M+F)-F
498,SELE_GLG1,SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GLG1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
499,SELE_GLG1,GLG1,"['eEVT', 'iEVT', 'GC']",SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dS2', 'Endo_M']",F-(M+F)
500,SELP_CCD47,SELP,"['VCT_CCC', 'iEVT']",CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F
501,SELP_CCD47,CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",SELP,"['VCT_CCC', 'iEVT', 'Endo_M']",F-(M+F)
502,SELP_CCDC47,SELP,"['VCT_CCC', 'iEVT']",CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F
503,SELP_CCDC47,CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",SELP,"['VCT_CCC', 'iEVT', 'Endo_M']",F-(M+F)
504,SELP_CD24,SELP,"['VCT_CCC', 'iEVT']",CD24,"['VCT_CCC', 'EVT_1']",(M+F)-F
505,SELP_CD24,CD24,"['VCT_CCC', 'EVT_1']",SELP,"['VCT_CCC', 'iEVT', 'Endo_M']",F-(M+F)
506,SEMA3E_PLXND1,SEMA3E,"['eEVT', 'GC']",PLXND1,"['EVT_2', 'eEVT']",(M+F)-F
507,SEMA3E_PLXND1,PLXND1,"['EVT_2', 'eEVT']",SEMA3E,"['eEVT', 'GC', 'dS2', 'Endo_M', 'uSMC']",F-(M+F)
508,SEMA4A_PLXND1,SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT']",PLXND1,"['EVT_2', 'eEVT']",(M+F)-F
509,SEMA4A_PLXND1,PLXND1,"['EVT_2', 'eEVT']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F)
510,SEMA4A_SEM4B,SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT']",SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",(M+F)-F
511,SEMA4A_SEM4B,SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F)
512,SEMA4A_SEMA4B,SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT']",SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",(M+F)-F
513,SEMA4A_SEMA4B,SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F)
514,SFRP1_WNT2B,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT2B,"['iEVT', 'GC', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
515,SFRP1_WNT2B,WNT2B,"['iEVT', 'GC']",SFRP1,"['EVT_2', 'eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
516,SFRP1_WNT5B,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT5B,"['eEVT', 'GC', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
517,SFRP1_WNT5B,WNT5B,"['eEVT', 'GC']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
518,SFRP1_WNT6,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT6,"['VCT_CCC', 'dS3', 'dS2']",(M+F)-(M+F)
519,SFRP1_WNT6,WNT6,['VCT_CCC'],SFRP1,"['EVT_2', 'eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
520,SFRP4_WNT2B,SFRP4,['eEVT'],WNT2B,"['iEVT', 'GC']",(M+F)-F
521,SFRP4_WNT2B,WNT2B,"['iEVT', 'GC']",SFRP4,"['eEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
522,SFRP4_WNT6,SFRP4,['eEVT'],WNT6,['VCT_CCC'],(M+F)-F
523,SFRP4_WNT6,WNT6,['VCT_CCC'],SFRP4,"['eEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
524,SIRPA_CD47,SIRPA,"['VCT_CCC', 'EVT_2', 'iEVT']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F
525,SIRPA_CD47,CD47,"['VCT_CCC', 'EVT_1']",SIRPA,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
526,SIRPB1_CD47,SIRPB1,"['VCT_CCC', 'EVT_1', 'EVT_2']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F
527,SIRPB1_CD47,CD47,"['VCT_CCC', 'EVT_1']",SIRPB1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1']",F-(M+F)
528,SLIT2_ROBO1,SLIT2,"['eEVT', 'iEVT', 'GC']",ROBO1,"['VCT_CCC', 'eEVT', 'GC']",(M+F)-F
