uniprot	Entry	gene_name
Q9BUQ8	DDX23_HUMAN	DDX23
Q9UHL0	DDX25_HUMAN	DDX25
O15523	DDX3Y_HUMAN	DDX3Y
Q86XP3	DDX42_HUMAN	DDX42
Q9NQI0	DDX4_HUMAN	DDX4
Q86TM3	DDX53_HUMAN	DDX53
Q8NHQ9	DDX55_HUMAN	DDX55
Q8WXF8	DEDD2_HUMAN	DEDD2
P12838	DEF4_HUMAN	DEFA4
Q01524	DEF6_HUMAN	DEFA6
P60022	DEFB1_HUMAN	DEFB1
Q8IV53	DEN1C_HUMAN	DENND1C
Q96Q80	DERL3_HUMAN	DERL3
P60981	DEST_HUMAN	DSTN
O00273	DFFA_HUMAN	DFFA
Q9P1J3	DHAS1_HUMAN	DHRS4-AS1
P49448	DHE4_HUMAN	GLUD2
P09417	DHPR_HUMAN	QDPR
Q8NG35	D105A_HUMAN	DEFB105A
Q8IZN7	D107A_HUMAN	DEFB107A
P0DP73	D130B_HUMAN	DEFB130B
P59861	D131A_HUMAN	DEFB131A
Q6NXN4	D19P1_HUMAN	DPY19L2P1
Q9UI36	DACH1_HUMAN	DACH1
Q96B18	DACT3_HUMAN	DACT3
P61803	DAD1_HUMAN	DAD1
P59103	DAOA_HUMAN	DAOA
A0PJW8	DAPL1_HUMAN	DAPL1
Q9NR90	DAZ3_HUMAN	DAZ3
P59666	DEF3_HUMAN	DEFA3
Q9H4E7	DEFI6_HUMAN	DEF6
Q9HBH1	DEFM_HUMAN	PDF
O15121	DEGS1_HUMAN	DEGS1
Q08495	DEMA_HUMAN	DMTN
Q9H6A0	DEN2D_HUMAN	DENND2D
Q5VZ89	DEN4C_HUMAN	DENND4C
Q8IWF6	DEN6A_HUMAN	DENND6A
O43583	DENR_HUMAN	DENR
Q96QD5	DEPD7_HUMAN	DEPDC7
Q9BSY9	DESI2_HUMAN	DESI2
O76075	DFFB_HUMAN	DFFB
Q15392	DHC24_HUMAN	DHCR24
O43323	DHH_HUMAN	DHH
P28845	DHI1_HUMAN	HSD11B1
P80365	DHI2_HUMAN	HSD11B2
Q96LJ7	DHRS1_HUMAN	DHRS1
Q13268	DHRS2_HUMAN	DHRS2
Q9UK85	DKKL1_HUMAN	DKKL1
Q6ZS02	DMP46_HUMAN	DNM1P46
O96015	DNAL4_HUMAN	DNAL4
O15075	DCLK1_HUMAN	DCLK1
Q9C098	DCLK3_HUMAN	DCLK3
Q8IWE4	DCNL3_HUMAN	DCUN1D3
Q6PJP8	DCR1A_HUMAN	DCLRE1A
Q96SD1	DCR1C_HUMAN	DCLRE1C
Q5T1A1	DCST2_HUMAN	DCST2
P32321	DCTD_HUMAN	DCTD
Q13561	DCTN2_HUMAN	DCTN2
Q9BTE1	DCTN5_HUMAN	DCTN5
Q8WUY9	DEP1B_HUMAN	DEPDC1B
O75140	DEPD5_HUMAN	DEPDC5
Q9BUN8	DERL1_HUMAN	DERL1
Q9GZP9	DERL2_HUMAN	DERL2
P15924	DESP_HUMAN	DSP
Q7L5Y6	DET1_HUMAN	DET1
O95424	DEXI_HUMAN	DEXI
O15263	DFB4A_HUMAN	DEFB4A
Q96PD7	DGAT2_HUMAN	DGAT2
Q9BY27	DGC6L_HUMAN	DGCR6L
Q14129	DGCR6_HUMAN	DGCR6
Q8WYQ5	DGCR8_HUMAN	DGCR8
P23743	DGKA_HUMAN	DGKA
Q9Y6T7	DGKB_HUMAN	DGKB
O75912	DGKI_HUMAN	DGKI
Q7Z5P4	DHB13_HUMAN	HSD17B13
P37059	DHB2_HUMAN	HSD17B2
P00367	DHE3_HUMAN	GLUD1
Q6P158	DHX57_HUMAN	DHX57
Q14562	DHX8_HUMAN	DHX8
Q08211	DHX9_HUMAN	DHX9
P49366	DHYS_HUMAN	DHPS
Q9H7Y0	DIA1R_HUMAN	CXorf36
Q8TBM8	DJB14_HUMAN	DNAJB14
Q9Y5T4	DJC15_HUMAN	DNAJC15
Q9Y2G8	DJC16_HUMAN	DNAJC16
Q9H819	DJC18_HUMAN	DNAJC18
Q5F1R6	DJC21_HUMAN	DNAJC21
Q9H1X3	DJC25_HUMAN	DNAJC25
Q9NZQ0	DJC27_HUMAN	DNAJC27
Q9NX36	DJC28_HUMAN	DNAJC28
Q9UBU2	DKK2_HUMAN	DKK2
Q9UBP4	DKK3_HUMAN	DKK3
Q8TDM6	DLG5_HUMAN	DLG5
Q15398	DLGP5_HUMAN	DLGAP5
O00548	DLL1_HUMAN	DLL1
Q8TF09	DLRB2_HUMAN	DYNLRB2
P56179	DLX6_HUMAN	DLX6
Q9Y5R6	DMRT1_HUMAN	DMRT1
Q96SC8	DMTA2_HUMAN	DMRTA2
Q9Y222	DMTF1_HUMAN	DMTF1
Q9UGM3	DMBT1_HUMAN	DMBT1
Q14565	DMC1_HUMAN	DMC1
Q09019	DMWD_HUMAN	DMWD
Q9UI46	DNAI1_HUMAN	DNAI1
Q96M86	DNHD1_HUMAN	DNHD1
Q9NNZ3	DNJC4_HUMAN	DNAJC4
Q99615	DNJC7_HUMAN	DNAJC7
P18858	DNLI1_HUMAN	LIG1
Q14184	DOC2B_HUMAN	DOC2B
Q8N1I0	DOCK4_HUMAN	DOCK4
Q96HP0	DOCK6_HUMAN	DOCK6
Q96N67	DOCK7_HUMAN	DOCK7
Q9BZ29	DOCK9_HUMAN	DOCK9
Q7L591	DOK3_HUMAN	DOK3
Q6PKX4	DOK6_HUMAN	DOK6
Q18PE1	DOK7_HUMAN	DOK7
P16444	DPEP1_HUMAN	DPEP1
Q9H4B8	DPEP3_HUMAN	DPEP3
Q9BTV6	DPH7_HUMAN	DPH7
Q9HCU8	DPOD4_HUMAN	POLD4
Q07864	DPOE1_HUMAN	POLE
P56282	DPOE2_HUMAN	POLE2
Q9UHN1	DPOG2_HUMAN	POLG2
Q8N608	DPP10_HUMAN	DPP10
Q7Z7J5	DPPA2_HUMAN	DPPA2
A6NC42	DPPA5_HUMAN	DPPA5
Q14194	DPYL1_HUMAN	CRMP1
O14531	DPYL4_HUMAN	DPYSL4
P01906	DQA2_HUMAN	HLA-DQA2
P01920	DQB1_HUMAN	HLA-DQB1
Q9Y295	DRG1_HUMAN	DRG1
Q6PGQ1	DRIC1_HUMAN	DRICH1
Q86Y01	DTX1_HUMAN	DTX1
Q9NRD9	DUOX1_HUMAN	DUOX1
Q5VZP5	DUS27_HUMAN	DUSP27
Q92564	DCNL4_HUMAN	DCUN1D4
Q8IU60	DCP2_HUMAN	DCP2
Q9H816	DCR1B_HUMAN	DCLRE1B
Q9UJW0	DCTN4_HUMAN	DCTN4
O95865	DDAH2_HUMAN	DDAH2
Q8WTU0	DDI1_HUMAN	DDI1
Q8IXT1	DDIAS_HUMAN	DDIAS
Q96HY6	DDRGK_HUMAN	DDRGK1
Q5H9U9	DDX6L_HUMAN	DDX60L
P35659	DEK_HUMAN	DEK
P17661	DESM_HUMAN	DES
Q05D60	DEUP1_HUMAN	DEUP1
Q6IED9	DG2L7_HUMAN	DGAT2L7P
Q8NBQ5	DHB11_HUMAN	HSD17B11
Q9BPX1	DHB14_HUMAN	HSD17B14
P14061	DHB1_HUMAN	HSD17B1
P37058	DHB3_HUMAN	HSD17B3
Q9Y394	DHRS7_HUMAN	DHRS7
O60231	DHX16_HUMAN	DHX16
Q9H5Z1	DHX35_HUMAN	DHX35
Q9H2U1	DHX36_HUMAN	DHX36
Q8TF46	DI3L1_HUMAN	DIS3L
Q9NSV4	DIAP3_HUMAN	DIAPH3
Q9UBX3	DIC_HUMAN	SLC25A10
Q9UBS4	DJB11_HUMAN	DNAJB11
P59910	DJB13_HUMAN	DNAJB13
Q9NVH1	DJC11_HUMAN	DNAJC11
Q6Y2X3	DJC14_HUMAN	DNAJC14
Q07687	DLX2_HUMAN	DLX2
P28067	DMA_HUMAN	HLA-DMA
Q6E0U4	DMKN_HUMAN	DMKN
Q6PK57	DMP34_HUMAN	DNM1P34
Q09013	DMPK_HUMAN	DMPK
Q96MA1	DMRTB_HUMAN	DMRTB1
P51530	DNA2_HUMAN	DNA2
Q9Y6K1	DNM3A_HUMAN	DNMT3A
Q9UJW3	DNM3L_HUMAN	DNMT3L
Q9ULA0	DNPEP_HUMAN	DNPEP
O43598	DNPH1_HUMAN	DNPH1
P49184	DNSL1_HUMAN	DNASE1L1
Q9NW81	DMAC2_HUMAN	DMAC2
Q8N7S2	DNJ5G_HUMAN	DNAJC5G
Q8WW22	DNJA4_HUMAN	DNAJA4
Q8NHS0	DNJB8_HUMAN	DNAJB8
Q6XZF7	DNMBP_HUMAN	DNMBP
Q9BU89	DOHH_HUMAN	DOHH
Q5JWR5	DOP1_HUMAN	DOPEY1
Q9BVM2	DPCD_HUMAN	DPCD
Q9BQC3	DPH2_HUMAN	DPH2
Q9H4G8	DPH3B_HUMAN	DPH3P1
P21728	DRD1_HUMAN	DRD1
P14416	DRD2_HUMAN	DRD2
Q9UII6	DS13B_HUMAN	DUSP13
C9JQL5	DSA2D_HUMAN	
Q14574	DSC3_HUMAN	DSC3
O14972	DSCR3_HUMAN	DSCR3
P57055	DSCR6_HUMAN	RIPPLY3
Q9H410	DSN1_HUMAN	DSN1
Q96EV8	DTBP1_HUMAN	DTNBP1
Q96G46	DUS3L_HUMAN	DUS3L
Q16690	DUS5_HUMAN	DUSP5
O00148	DX39A_HUMAN	DDX39A
Q13838	DX39B_HUMAN	DDX39B
Q9C0G6	DYH6_HUMAN	DNAH6
Q96JB1	DYH8_HUMAN	DNAH8
Q9NYC9	DYH9_HUMAN	DNAH9
Q8NCM8	DYHC2_HUMAN	DYNC2H1
O75923	DYSF_HUMAN	DYSF
Q86YF9	DZIP1_HUMAN	DZIP1
Q86Y13	DZIP3_HUMAN	DZIP3
Q9BQI3	E2AK1_HUMAN	EIF2AK1
O00716	E2F3_HUMAN	E2F3
Q16254	E2F4_HUMAN	E2F4
A0AVK6	E2F8_HUMAN	E2F8
P43003	EAA1_HUMAN	SLC1A3
P43005	EAA3_HUMAN	SLC1A1
Q99259	DCE1_HUMAN	GAD1
Q05329	DCE2_HUMAN	GAD2
Q8TF63	DCNP1_HUMAN	DCANP1
Q9NPI6	DCP1A_HUMAN	DCP1A
Q14203	DCTN1_HUMAN	DCTN1
Q08345	DDR1_HUMAN	DDR1
Q16832	DDR2_HUMAN	DDR2
Q96GQ7	DDX27_HUMAN	DDX27
Q8TEH3	DEN1A_HUMAN	DENND1A
O75064	DEN4B_HUMAN	DENND4B
Q9Y315	DEOC_HUMAN	DERA
Q9NTK1	DEPP1_HUMAN	DEPP1
Q07507	DERM_HUMAN	DPT
Q9UBM7	DHCR7_HUMAN	DHCR7
Q86SQ9	DHDDS_HUMAN	DHDDS
Q96HY7	DHTK1_HUMAN	DHTKD1
Q01459	DIAC_HUMAN	CTBS
Q68CQ4	DIEXF_HUMAN	DIEXF
O95057	DIRA1_HUMAN	DIRAS1
O95661	DIRA3_HUMAN	DIRAS3
Q9NXW2	DJB12_HUMAN	DNAJB12
Q96LL9	DJC30_HUMAN	DNAJC30
Q9Y238	DLEC1_HUMAN	DLEC1
Q12959	DLG1_HUMAN	DLG1
P80370	DLK1_HUMAN	DLK1
Q9NR61	DLL4_HUMAN	DLL4
Q9NP97	DLRB1_HUMAN	DYNLRB1
O60610	DIAP1_HUMAN	DIAPH1
O60879	DIAP2_HUMAN	DIAPH2
Q9UPY3	DICER_HUMAN	DICER1
Q96F81	DISP1_HUMAN	DISP1
Q8IXB1	DJC10_HUMAN	DNAJC10
Q9NVM6	DJC17_HUMAN	DNAJC17
Q9UBT3	DKK4_HUMAN	DKK4
P09622	DLDH_HUMAN	DLD
Q15700	DLG2_HUMAN	DLG2
Q96GE9	DMAC1_HUMAN	DMAC1
Q9NPF5	DMAP1_HUMAN	DMAP1
Q9Y5R5	DMRT2_HUMAN	DMRT2
Q9NQL9	DMRT3_HUMAN	DMRT3
Q5HYR2	DMRTC_HUMAN	DMRTC1;
Q8IXT2	DMRTD_HUMAN	DMRTC2
Q8TDJ6	DMXL2_HUMAN	DMXL2
Q4LDG9	DNAL1_HUMAN	DNAL1
Q8IYX4	DND1_HUMAN	DND1
Q9UF47	DNJ5B_HUMAN	DNAJC5B
Q96EY1	DNJA3_HUMAN	DNAJA3
O75953	DNJB5_HUMAN	DNAJB5
O75190	DNJB6_HUMAN	DNAJB6
Q9UBS3	DNJB9_HUMAN	DNAJB9
Q13217	DNJC3_HUMAN	DNAJC3
Q9H3Z4	DNJC5_HUMAN	DNAJC5
Q8WXX5	DNJC9_HUMAN	DNAJC9
P26358	DNMT1_HUMAN	DNMT1
Q13609	DNSL3_HUMAN	DNASE1L3
P13765	DOB_HUMAN	HLA-DOB
Q14183	DOC2A_HUMAN	DOC2A
Q3MIW9	DPCR1_HUMAN	DPCR1
Q92782	DPF1_HUMAN	DPF1
Q92784	DPF3_HUMAN	DPF3
Q7L8W6	DPH6_HUMAN	DPH6
O14521	DHSD_HUMAN	SDHD
Q00796	DHSO_HUMAN	SORD
Q7Z478	DHX29_HUMAN	DHX29
Q7L7V1	DHX32_HUMAN	DHX32
Q14147	DHX34_HUMAN	DHX34
Q8IY37	DHX37_HUMAN	DHX37
Q96C10	DHX58_HUMAN	DHX58
Q9UNQ2	DIM1_HUMAN	DIMT1
Q14689	DIP2A_HUMAN	DIP2A
Q9Y2E4	DIP2C_HUMAN	DIP2C
Q9P2K9	DISP3_HUMAN	DISP3
Q8N4W6	DJC22_HUMAN	DNAJC22
Q92796	DLG3_HUMAN	DLG3
P78352	DLG4_HUMAN	DLG4
Q9P1A6	DLGP2_HUMAN	DLGAP2
O95886	DLGP3_HUMAN	DLGAP3
Q86YH6	DLP1_HUMAN	PDSS2
P56177	DLX1_HUMAN	DLX1
Q92988	DLX4_HUMAN	DLX4
P56178	DLX5_HUMAN	DLX5
Q8NFW5	DMBX1_HUMAN	DMBX1
P11532	DMD_HUMAN	DMD
Q13316	DMP1_HUMAN	DMP1
Q5VZB9	DMRTA_HUMAN	DMRTA1
Q9Y485	DMXL1_HUMAN	DMXL1
P25685	DNJB1_HUMAN	DNAJB1
Q8WWF6	DNJB3_HUMAN	DNAJB3
P25686	DNJB2_HUMAN	DNAJB2
Q96KC8	DNJC1_HUMAN	DNAJC1
Q99543	DNJC2_HUMAN	DNAJC2
P49916	DNLI3_HUMAN	LIG3
Q5SXM8	DNLZ_HUMAN	DNLZ
O00429	DNM1L_HUMAN	DNM1L
Q9UBC3	DNM3B_HUMAN	DNMT3B
O00115	DNS2A_HUMAN	DNASE2
P06340	DOA_HUMAN	HLA-DOA
Q96BY6	DOC10_HUMAN	DOCK10
Q8IZD9	DOCK3_HUMAN	DOCK3
Q8TEK3	DOT1L_HUMAN	DOT1L
Q1HG43	DOXA1_HUMAN	DUOXA1
Q9H4A9	DPEP2_HUMAN	DPEP2
Q9BZG8	DPH1_HUMAN	DPH1
Q96FX2	DPH3_HUMAN	DPH3
O94777	DPM2_HUMAN	DPM2
Q9NRF9	DPOE3_HUMAN	POLE3
P54098	DPOG1_HUMAN	POLG
P09884	DPOLA_HUMAN	POLA1
Q9NP87	DPOLM_HUMAN	POLM
Q6IAN0	DRS7B_HUMAN	DHRS7B
A6NNS2	DRS7C_HUMAN	DHRS7C
Q02487	DSC2_HUMAN	DSC2
Q8TD84	DSCL1_HUMAN	DSCAML1
Q8IZU8	DSEL_HUMAN	DSEL
Q9UL01	DSE_HUMAN	DSE
Q9NZW4	DSPP_HUMAN	DSPP
Q9Y4J8	DTNA_HUMAN	DTNA
Q86UW9	DTX2_HUMAN	DTX2
Q8N9I9	DTX3_HUMAN	DTX3
O95147	DUS14_HUMAN	DUSP14
Q9H1R2	DUS15_HUMAN	DUSP15
Q6P1R4	DUS1L_HUMAN	DUS1L
Q9UER7	DAXX_HUMAN	DAXX
Q96EP5	DAZP1_HUMAN	DAZAP1
Q30KQ7	DB113_HUMAN	DEFB113
Q30KQ4	DB116_HUMAN	DEFB116
Q8N688	DB123_HUMAN	DEFB123
Q6ZNG2	DBX2_HUMAN	DBX2
Q9BVC3	DCC1_HUMAN	DSCC1
A2VCK2	DCD2B_HUMAN	DCDC2B
P19113	DCHS_HUMAN	HDC
P27707	DCK_HUMAN	DCK
Q9H295	DCSTP_HUMAN	DCSTAMP
O00399	DCTN6_HUMAN	DCTN6
Q9H773	DCTP1_HUMAN	DCTPP1
O43602	DCX_HUMAN	DCX
Q9BW61	DDA1_HUMAN	DDA1
Q16531	DDB1_HUMAN	DDB1
P20711	DDC_HUMAN	DDC
O94830	DDHD2_HUMAN	DDHD2
P35638	DDIT3_HUMAN	DDIT3
Q9NVP1	DDX18_HUMAN	DDX18
Q92499	DDX1_HUMAN	DDX1
Q9UHI6	DDX20_HUMAN	DDX20
Q9UJV9	DDX41_HUMAN	DDX41
Q7L014	DDX46_HUMAN	DDX46
Q9Y6V7	DDX49_HUMAN	DDX49
Q8IY21	DDX60_HUMAN	DDX60
O75398	DEAF1_HUMAN	DEAF1
Q6ZPD8	DG2L6_HUMAN	DGAT2L6
O75907	DGAT1_HUMAN	DGAT1
P52429	DGKE_HUMAN	DGKE
P49619	DGKG_HUMAN	DGKG
Q5KSL6	DGKK_HUMAN	DGKK
P52824	DGKQ_HUMAN	DGKQ
Q53GQ0	DHB12_HUMAN	HSD17B12
P56937	DHB7_HUMAN	HSD17B7
Q92506	DHB8_HUMAN	HSD17B8
Q9UQ10	DHDH_HUMAN	DHDH
A0PJE2	DHR12_HUMAN	DHRS12
Q9BTZ2	DHRS4_HUMAN	DHRS4
Q8IYB7	DI3L2_HUMAN	DIS3L2
Q8NDZ4	DIA1_HUMAN	C3orf58
Q9BTC0	DIDO1_HUMAN	DIDO1
Q9P265	DIP2B_HUMAN	DIP2B
Q6ZPD9	D19L3_HUMAN	DPY19L3
Q7Z388	D19L4_HUMAN	DPY19L4
Q8WXU2	DAAF4_HUMAN	DNAAF4
Q9UIK4	DAPK2_HUMAN	DAPK2
O43293	DAPK3_HUMAN	DAPK3
Q8N136	DAW1_HUMAN	DAW1
Q9H1M3	DB129_HUMAN	DEFB129
Q4QY38	DB134_HUMAN	DEFB134
Q30KP8	DB136_HUMAN	DEFB136
Q9H9R9	DBND1_HUMAN	DBNDD1
Q9BQY9	DBND2_HUMAN	DBNDD2
A6NMT0	DBX1_HUMAN	DBX1
Q13409	DC1I2_HUMAN	DYNC1I2
Q8TCX1	DC2L1_HUMAN	DYNC2LI1
A6NGE4	DC8L1_HUMAN	DCAF8L1
Q9NV06	DCA13_HUMAN	DCAF13
Q66K64	DCA15_HUMAN	DCAF15
Q8N8Z6	DCBD1_HUMAN	DCBLD1
P43146	DCC_HUMAN	DCC
Q96GG9	DCNL1_HUMAN	DCUN1D1
Q8IZD4	DCP1B_HUMAN	DCP1B
Q5T197	DCST1_HUMAN	DCST1
P06132	DCUP_HUMAN	UROD
A6NHG4	DDTL_HUMAN	DDTL
Q96FC9	DDX11_HUMAN	DDX11
Q9NR30	DDX21_HUMAN	DDX21
Q9BQ39	DDX50_HUMAN	DDX50
Q8N8A6	DDX51_HUMAN	DDX51
Q5T1V6	DDX59_HUMAN	DDX59
P17844	DDX5_HUMAN	DDX5
P59665	DEF1_HUMAN	DEFA1
Q9Y2G2	CARD8_HUMAN	CARD8
Q6F5E8	CARL2_HUMAN	CARMIL2
Q8N187	CARTF_HUMAN	CARF
P31944	CASPE_HUMAN	CASP14
P07858	CATB_HUMAN	CTSB
P09668	CATH_HUMAN	CTSH
P43234	CATO_HUMAN	CTSO
Q9NWW7	CB042_HUMAN	C2orf42
Q96LR7	CB050_HUMAN	C2orf50
Q8N5S3	CB073_HUMAN	C2orf73
Q3KRA6	CB076_HUMAN	C2orf76
A0A1B0GVN3	CB092_HUMAN	C2orf92
